title,url,date,company,stock_name,stock_code,pdf_link,success,path,error
잃지 않는 포트폴리오,https://finance.naver.comcompany_read.naver?nid=82700&page=2,25.05.02,유안타증권,삼성물산,028260,https://stock.pstatic.net/stock-research/company/18/20250502_company_554849000.pdf,True,./test/pdf_reports/유안타증권_삼성물산_250502_잃지 않는 포트폴리오.pdf,
선명해진 상저하고의 실적 경로,https://finance.naver.comcompany_read.naver?nid=82699&page=2,25.05.02,유안타증권,GS건설,006360,https://stock.pstatic.net/stock-research/company/18/20250502_company_953292000.pdf,True,./test/pdf_reports/유안타증권_GS건설_250502_선명해진 상저하고의 실적 경로.pdf,
펍지만으로도 성장 확신,https://finance.naver.comcompany_read.naver?nid=82698&page=2,25.05.02,유안타증권,크래프톤,259960,https://stock.pstatic.net/stock-research/company/18/20250502_company_90934000.pdf,True,./test/pdf_reports/유안타증권_크래프톤_250502_펍지만으로도 성장 확신.pdf,
흑자전환은 언제쯤?,https://finance.naver.comcompany_read.naver?nid=82697&page=2,25.05.02,유안타증권,SKC,011790,https://stock.pstatic.net/stock-research/company/18/20250502_company_154347000.pdf,True,./test/pdf_reports/유안타증권_SKC_250502_흑자전환은 언제쯤.pdf,
"방산, 이제는 부품까지",https://finance.naver.comcompany_read.naver?nid=82696&page=2,25.05.02,유안타증권,풍산,103140,https://stock.pstatic.net/stock-research/company/18/20250502_company_355439000.pdf,True,./test/pdf_reports/유안타증권_풍산_250502_방산 이제는 부품까지.pdf,
1H25 예상 영업이익 13조원 vs. 반도체 사업 ..,https://finance.naver.comcompany_read.naver?nid=82695&page=2,25.05.02,유안타증권,삼성전자,005930,https://stock.pstatic.net/stock-research/company/18/20250502_company_135742000.pdf,True,./test/pdf_reports/유안타증권_삼성전자_250502_1H25 예상 영업이익 13조원 vs 반도체 사업 .pdf,
아직은 우려가 해소되지 않은 상반기,https://finance.naver.comcompany_read.naver?nid=82694&page=2,25.05.02,미래에셋증권,SK이노베이션,096770,https://stock.pstatic.net/stock-research/company/29/20250502_company_550274000.pdf,True,./test/pdf_reports/미래에셋증권_SK이노베이션_250502_아직은 우려가 해소되지 않은 상반기.pdf,
1Q25 영업이익률 38% 기록,https://finance.naver.comcompany_read.naver?nid=82693&page=2,25.05.02,미래에셋증권,산일전기,062040,https://stock.pstatic.net/stock-research/company/29/20250502_company_869631000.pdf,True,./test/pdf_reports/미래에셋증권_산일전기_250502_1Q25 영업이익률 38 기록.pdf,
2026년을 바라보며,https://finance.naver.comcompany_read.naver?nid=82692&page=2,25.05.02,미래에셋증권,한국항공우주,047810,https://stock.pstatic.net/stock-research/company/29/20250502_company_237834000.pdf,True,./test/pdf_reports/미래에셋증권_한국항공우주_250502_2026년을 바라보며.pdf,
업황 부진 속 실적 선방 기대,https://finance.naver.comcompany_read.naver?nid=82691&page=2,25.05.02,미래에셋증권,LX인터내셔널,001120,https://stock.pstatic.net/stock-research/company/29/20250502_company_852102000.pdf,True,./test/pdf_reports/미래에셋증권_LX인터내셔널_250502_업황 부진 속 실적 선방 기대.pdf,
정책 불확실성 속 견조한 주요 고객,https://finance.naver.comcompany_read.naver?nid=82690&page=2,25.05.02,미래에셋증권,LG에너지솔루션,373220,https://stock.pstatic.net/stock-research/company/29/20250502_company_746434000.pdf,True,./test/pdf_reports/미래에셋증권_LG에너지솔루션_250502_정책 불확실성 속 견조한 주요 고객.pdf,
이익 사이클 저점 통과하며 턴어라운드 본격 ..,https://finance.naver.comcompany_read.naver?nid=82689&page=2,25.05.02,대신증권,F&F,383220,https://stock.pstatic.net/stock-research/company/2/20250502_company_645361000.pdf,True,./test/pdf_reports/대신증권_F&F_250502_이익 사이클 저점 통과하며 턴어라운드 본격 .pdf,
못하는게 없네,https://finance.naver.comcompany_read.naver?nid=82688&page=2,25.05.02,대신증권,키움증권,039490,https://stock.pstatic.net/stock-research/company/2/20250502_company_549800000.pdf,True,./test/pdf_reports/대신증권_키움증권_250502_못하는게 없네.pdf,
DC Inside,https://finance.naver.comcompany_read.naver?nid=82687&page=2,25.05.02,대신증권,LG유플러스,032640,https://stock.pstatic.net/stock-research/company/2/20250502_company_83838000.pdf,True,./test/pdf_reports/대신증권_LG유플러스_250502_DC Inside.pdf,
확장되는 반도체 장비 포트폴리오,https://finance.naver.comcompany_read.naver?nid=82686&page=2,25.05.02,대신증권,예스티,122640,https://stock.pstatic.net/stock-research/company/2/20250502_company_925490000.pdf,True,./test/pdf_reports/대신증권_예스티_250502_확장되는 반도체 장비 포트폴리오.pdf,
2026년에 봐야 할 종목,https://finance.naver.comcompany_read.naver?nid=82685&page=3,25.05.02,대신증권,현대위아,011210,https://stock.pstatic.net/stock-research/company/2/20250502_company_952507000.pdf,True,./test/pdf_reports/대신증권_현대위아_250502_2026년에 봐야 할 종목.pdf,
오버행과 관세에 매몰된 펀더멘털 개선,https://finance.naver.comcompany_read.naver?nid=82684&page=3,25.05.02,대신증권,금호타이어,073240,https://stock.pstatic.net/stock-research/company/2/20250502_company_443186000.pdf,True,./test/pdf_reports/대신증권_금호타이어_250502_오버행과 관세에 매몰된 펀더멘털 개선.pdf,
유럽 풀가동이 현실이 된다,https://finance.naver.comcompany_read.naver?nid=82683&page=3,25.05.02,대신증권,넥센타이어,002350,https://stock.pstatic.net/stock-research/company/2/20250502_company_310939000.pdf,True,./test/pdf_reports/대신증권_넥센타이어_250502_유럽 풀가동이 현실이 된다.pdf,
글로벌 리밸런싱과 중국의 콜라보,https://finance.naver.comcompany_read.naver?nid=82682&page=3,25.05.02,대신증권,아모레퍼시픽,090430,https://stock.pstatic.net/stock-research/company/2/20250502_company_943869000.pdf,True,./test/pdf_reports/대신증권_아모레퍼시픽_250502_글로벌 리밸런싱과 중국의 콜라보.pdf,
"관세, 입항세 규제 영향에도 안정적 실적 이..",https://finance.naver.comcompany_read.naver?nid=82681&page=3,25.05.02,대신증권,현대글로비스,086280,https://stock.pstatic.net/stock-research/company/2/20250502_company_653774000.pdf,True,./test/pdf_reports/대신증권_현대글로비스_250502_관세 입항세 규제 영향에도 안정적 실적 이.pdf,
LNG부문이 깜짝 실적에 기여,https://finance.naver.comcompany_read.naver?nid=82680&page=3,25.05.02,대신증권,팬오션,028670,https://stock.pstatic.net/stock-research/company/2/20250502_company_622034000.pdf,True,./test/pdf_reports/대신증권_팬오션_250502_LNG부문이 깜짝 실적에 기여.pdf,
"실적은 컨센서스 부합, 하반기가 기대된다",https://finance.naver.comcompany_read.naver?nid=82679&page=3,25.05.02,대신증권,한미약품,128940,https://stock.pstatic.net/stock-research/company/2/20250502_company_710818000.pdf,True,./test/pdf_reports/대신증권_한미약품_250502_실적은 컨센서스 부합 하반기가 기대된다.pdf,
"2Q25 이후 수익성 개선, K-원전/가스터빈/SMR..",https://finance.naver.comcompany_read.naver?nid=82678&page=3,25.05.02,대신증권,두산에너빌리티,034020,https://stock.pstatic.net/stock-research/company/2/20250502_company_925238000.pdf,True,./test/pdf_reports/대신증권_두산에너빌리티_250502_2Q25 이후 수익성 개선 K-원전가스터빈SMR.pdf,
첨단소재부문 기대치 상회,https://finance.naver.comcompany_read.naver?nid=82677&page=3,25.05.02,대신증권,LG화학,051910,https://stock.pstatic.net/stock-research/company/2/20250502_company_55415000.pdf,True,./test/pdf_reports/대신증권_LG화학_250502_첨단소재부문 기대치 상회.pdf,
"ECH 적자 축소, 시장기대치 상회",https://finance.naver.comcompany_read.naver?nid=82676&page=3,25.05.02,대신증권,롯데정밀화학,004000,https://stock.pstatic.net/stock-research/company/2/20250502_company_390788000.pdf,True,./test/pdf_reports/대신증권_롯데정밀화학_250502_ECH 적자 축소 시장기대치 상회.pdf,
마데카솔의 확장성은 어디까지,https://finance.naver.comcompany_read.naver?nid=82675&page=3,25.05.02,한국IR협의회,동국제약,086450,https://stock.pstatic.net/stock-research/company/74/20250502_company_758440000.pdf,True,./test/pdf_reports/한국IR협의회_동국제약_250502_마데카솔의 확장성은 어디까지.pdf,
1Q25 Review - 긍정적 시그널: 판매량 반등,https://finance.naver.comcompany_read.naver?nid=82674&page=3,25.05.02,유진투자증권,세아베스틸지주,001430,https://stock.pstatic.net/stock-research/company/63/20250502_company_272692000.pdf,True,./test/pdf_reports/유진투자증권_세아베스틸지주_250502_1Q25 Review - 긍정적 시그널 판매량 반등.pdf,
1Q25 Review: 저평가 or 저성과?,https://finance.naver.comcompany_read.naver?nid=82673&page=3,25.05.02,유진투자증권,삼성전자,005930,https://stock.pstatic.net/stock-research/company/63/20250502_company_702748000.pdf,True,./test/pdf_reports/유진투자증권_삼성전자_250502_1Q25 Review 저평가 or 저성과.pdf,
"긍정적, 부정적 요인 혼재",https://finance.naver.comcompany_read.naver?nid=82672&page=3,25.05.02,미래에셋증권,GS건설,006360,https://stock.pstatic.net/stock-research/company/29/20250502_company_554777000.pdf,True,./test/pdf_reports/미래에셋증권_GS건설_250502_긍정적 부정적 요인 혼재.pdf,
비수기에도 방산 수출 OPM 37.4%,https://finance.naver.comcompany_read.naver?nid=82671&page=3,25.05.02,미래에셋증권,한화에어로스페이스,012450,https://stock.pstatic.net/stock-research/company/29/20250502_company_699084000.pdf,True,./test/pdf_reports/미래에셋증권_한화에어로스페이스_250502_비수기에도 방산 수출 OPM 374.pdf,
미국 관세 여파로 전지 소재 약세 전망,https://finance.naver.comcompany_read.naver?nid=82670&page=3,25.05.02,미래에셋증권,LG화학,051910,https://stock.pstatic.net/stock-research/company/29/20250502_company_643338000.pdf,True,./test/pdf_reports/미래에셋증권_LG화학_250502_미국 관세 여파로 전지 소재 약세 전망.pdf,
안정적인 트레이딩 성과 시현,https://finance.naver.comcompany_read.naver?nid=82669&page=3,25.05.02,미래에셋증권,키움증권,039490,https://stock.pstatic.net/stock-research/company/29/20250502_company_475101000.pdf,True,./test/pdf_reports/미래에셋증권_키움증권_250502_안정적인 트레이딩 성과 시현.pdf,
남들과는 다른 분위기,https://finance.naver.comcompany_read.naver?nid=82668&page=3,25.05.02,IBK투자증권,엘앤에프,066970,https://stock.pstatic.net/stock-research/company/40/20250502_company_575029000.pdf,True,./test/pdf_reports/IBK투자증권_엘앤에프_250502_남들과는 다른 분위기.pdf,
1Q25 Review: The Queen is back,https://finance.naver.comcompany_read.naver?nid=82667&page=3,25.05.02,유진투자증권,아모레퍼시픽,090430,https://stock.pstatic.net/stock-research/company/63/20250502_company_14965000.pdf,True,./test/pdf_reports/유진투자증권_아모레퍼시픽_250502_1Q25 Review The Queen is back.pdf,
긍정과 부정 사이,https://finance.naver.comcompany_read.naver?nid=82666&page=3,25.05.02,IBK투자증권,SK아이이테크놀로지,361610,https://stock.pstatic.net/stock-research/company/40/20250502_company_774719000.pdf,True,./test/pdf_reports/IBK투자증권_SK아이이테크놀로지_250502_긍정과 부정 사이.pdf,
1Q25 Review - 2분기는 증익하지만..,https://finance.naver.comcompany_read.naver?nid=82665&page=3,25.05.02,유진투자증권,풍산,103140,https://stock.pstatic.net/stock-research/company/63/20250502_company_874925000.pdf,True,./test/pdf_reports/유진투자증권_풍산_250502_1Q25 Review - 2분기는 증익하지만.pdf,
하나하나 찬찬히 다시 생각해보았습니다,https://finance.naver.comcompany_read.naver?nid=82664&page=3,25.05.02,SK증권,서진시스템,178320,https://stock.pstatic.net/stock-research/company/64/20250502_company_434509000.pdf,True,./test/pdf_reports/SK증권_서진시스템_250502_하나하나 찬찬히 다시 생각해보았습니다.pdf,
좋지만 좋지 않은 실적,https://finance.naver.comcompany_read.naver?nid=82663&page=3,25.05.02,IBK투자증권,LG에너지솔루션,373220,https://stock.pstatic.net/stock-research/company/40/20250502_company_718626000.pdf,True,./test/pdf_reports/IBK투자증권_LG에너지솔루션_250502_좋지만 좋지 않은 실적.pdf,
차기 정부 수소 정책이 중요,https://finance.naver.comcompany_read.naver?nid=82662&page=3,25.05.02,유진투자증권,두산퓨얼셀,336260,https://stock.pstatic.net/stock-research/company/63/20250502_company_3019000.pdf,True,./test/pdf_reports/유진투자증권_두산퓨얼셀_250502_차기 정부 수소 정책이 중요.pdf,
하반기 개선 방향성은 유효,https://finance.naver.comcompany_read.naver?nid=82661&page=3,25.05.02,신한투자증권,엘앤에프,066970,,False,,PDF 링크 없음
안정성과 성장성을 겸비한 회사,https://finance.naver.comcompany_read.naver?nid=82660&page=3,25.05.02,신한투자증권,SNT모티브,064960,,False,,PDF 링크 없음
1Q25 Review: 기대했지만 더 좋은 실적,https://finance.naver.comcompany_read.naver?nid=82659&page=3,25.05.02,신한투자증권,제이에스코퍼레이션,194370,,False,,PDF 링크 없음
기존 강점 유지+사업 영역 확대,https://finance.naver.comcompany_read.naver?nid=82658&page=3,25.05.02,SK증권,키움증권,039490,https://stock.pstatic.net/stock-research/company/64/20250502_company_577435000.pdf,True,./test/pdf_reports/SK증권_키움증권_250502_기존 강점 유지사업 영역 확대.pdf,
바이오 호조로 실적 악화 방어,https://finance.naver.comcompany_read.naver?nid=82657&page=3,25.05.02,유진투자증권,삼성물산,028260,https://stock.pstatic.net/stock-research/company/63/20250502_company_752365000.pdf,True,./test/pdf_reports/유진투자증권_삼성물산_250502_바이오 호조로 실적 악화 방어.pdf,
단기 실적 부진 불구 고객 증가 긍정,https://finance.naver.comcompany_read.naver?nid=82656&page=3,25.05.02,유진투자증권,솔루스첨단소재,336370,https://stock.pstatic.net/stock-research/company/63/20250502_company_920971000.pdf,True,./test/pdf_reports/유진투자증권_솔루스첨단소재_250502_단기 실적 부진 불구 고객 증가 긍정.pdf,
