year,quarter,stock_code,stock_name,매출액,영업이익,법인세차감전순이익,당기순이익,자산총계,부채총계,자본총계,자본금,이익잉여금
2024,2Q,000480,시알홀딩스,201928346636.0,6403489306.0,2356033478.0,2306748437.0,1649063208474.0,831183924745.0,817879283729.0,23445245000.0,592556483677.0
2024,2Q,000590,CS홀딩스,30812809216.0,6354270500.0,8930645903.0,7176300291.0,399373467249.0,41302935061.0,358070532188.0,5772410000.0,243327709092.0
2024,2Q,001040,CJ,10682936102000.0,666350287000.0,437148514000.0,308509806000.0,48279086592000.0,30214005843000.0,18065080749000.0,179047370000.0,4222040170000.0
2024,2Q,001460,BYC,41210525658.0,2189379520.0,1603348285.0,1157335208.0,685463992880.0,147886997530.0,537576995350.0,4200000000.0,525948520473.0
2024,2Q,011150,CJ씨푸드,47497113882.0,-170931382.0,179382201.0,74041839.0,171186257898.0,91289496669.0,79896761229.0,18065386500.0,63214080106.0
2024,2Q,024110,기업은행,,827586000000.0,824706000000.0,609693000000.0,461913974000000.0,429300729000000.0,32613245000000.0,4211365000000.0,22414634000000.0
2024,2Q,027410,BGF,113493930088.0,16526438982.0,18796449325.0,17677871260.0,2184102185776.0,267039279834.0,1917062905942.0,95716791000.0,840787567213.0
2024,2Q,079160,CJ CGV,429940035091.0,22344869877.0,-7652822331.0,-6706164809.0,4132514536737.0,3326846712132.0,805667824605.0,82789725500.0,-1292932960077.0
2024,2Q,095570,AJ네트웍스,279408236963.0,21005089595.0,4672026031.0,3184262054.0,1761913702947.0,1337215536975.0,424698165972.0,46822295000.0,241740549639.0
2024,2Q,097950,CJ제일제당,7238674606000.0,383560174000.0,205037807000.0,147817432000.0,30184226778000.0,18093568564000.0,12090658214000.0,81908095000.0,5864818421000.0
2024,2Q,138930,BNK금융지주,,294309101262.0,320456115238.0,248232566094.0,150088886153323.0,139008441501643.0,11080444651680.0,1629676230000.0,7459526129169.0
2024,2Q,267260,HD현대일렉트릭,916909063295.0,210055878805.0,209483650336.0,161208877690.0,3318982426962.0,2026541291612.0,1292441135350.0,180235675000.0,616082082725.0
2024,2Q,282330,BGF리테일,2202880660591.0,76214866056.0,73879198940.0,58485751903.0,3244502006139.0,2158041524956.0,1086460481183.0,17283906000.0,723123955427.0
2024,3Q,000120,CJ대한통운,2975813507770.0,141611194932.0,83845022196.0,59965743742.0,9375404036222.0,5366139593103.0,4009264443119.0,114061720000.0,1254619378036.0
2024,3Q,000480,시알홀딩스,202556390259.0,13365618080.0,13461360190.0,8363092537.0,1678998415299.0,847746005163.0,831252410136.0,23445245000.0,594953332135.0
2024,3Q,000590,CS홀딩스,33821692460.0,5149767019.0,6900056424.0,5393052417.0,401182469662.0,40500460782.0,360682008880.0,5772410000.0,247339091706.0
2024,3Q,001040,CJ,10845151437000.0,674847742000.0,37318486000.0,-295199439000.0,46014324018000.0,28704635114000.0,17309688904000.0,179047370000.0,4068341769000.0
2024,3Q,001460,BYC,38129778552.0,5800647974.0,6317824039.0,5096184345.0,690468882729.0,147855987822.0,542612894907.0,4200000000.0,531040203135.0
2024,3Q,011150,CJ씨푸드,53620145002.0,787862549.0,2149618885.0,2005912786.0,164780284940.0,81781549868.0,82998735072.0,18065386500.0,65219992892.0
2024,3Q,024110,기업은행,,1126080000000.0,1084751000000.0,803559000000.0,458374265000000.0,424646503000000.0,33727762000000.0,4211365000000.0,23172744000000.0
2024,3Q,027410,BGF,110919127367.0,21095723365.0,27092443579.0,52327509728.0,2209305201335.0,242463552401.0,1966841648934.0,95716791000.0,893411659462.0
2024,3Q,079160,CJ CGV,547000605219.0,32071228182.0,12252746820.0,8030109536.0,4076038420577.0,3249133358193.0,826905062384.0,82790001500.0,-1293917827233.0
2024,3Q,095570,AJ네트웍스,249792843134.0,19596543446.0,14161182014.0,10927476944.0,1738013845053.0,1309719939003.0,428293906050.0,46822295000.0,252667955736.0
2024,3Q,097950,CJ제일제당,7414278491000.0,416193547000.0,271610251000.0,212228445000.0,28941553848000.0,16952500240000.0,11989053608000.0,81908095000.0,6008215473000.0
2024,3Q,138930,BNK금융지주,,241534976306.0,292431188917.0,218409801818.0,150875264919647.0,139753018292781.0,11122246626866.0,1629676230000.0,7586499071095.0
2024,3Q,267260,HD현대일렉트릭,788748822280.0,163816858051.0,152600079552.0,116609459856.0,3352468728922.0,1955616622238.0,1396852106684.0,180235675000.0,732933050823.0
2024,3Q,282330,BGF리테일,2325582280004.0,91155803123.0,89092437649.0,69865497828.0,3346627797423.0,2192446183492.0,1154181613931.0,17283906000.0,792954581706.0
2024,4Q,000120,CJ대한통운,12116761147160.0,530663067133.0,378346154677.0,268320297629.0,9743855522383.0,5518255667581.0,4225599854802.0,114061720000.0,1325383720317.0
2024,4Q,000480,시알홀딩스,810831515000.0,17438364000.0,11714493000.0,2470935000.0,1697695581000.0,835588274000.0,862107307000.0,23445245000.0,603555450000.0
2024,4Q,000590,CS홀딩스,141950747269.0,22314081505.0,48629778633.0,37853224906.0,412586797943.0,35090175721.0,377496622222.0,5772410000.0,262642173497.0
2024,4Q,001040,CJ,43646656090000.0,2547483645000.0,708801812000.0,151195776000.0,47496993224000.0,29750607288000.0,17746385936000.0,179047370000.0,4037835662000.0
2024,4Q,001460,BYC,165207568941.0,23832906913.0,23376621183.0,18404839494.0,696400955313.0,146993205799.0,549407749514.0,4200000000.0,538376938277.0
2024,4Q,011150,CJ씨푸드,193717170281.0,4357856052.0,5587462995.0,5019262467.0,173079219891.0,89450601925.0,83628617966.0,18065386500.0,65026359120.0
2024,4Q,024110,기업은행,,3594087000000.0,3567503000000.0,2654338000000.0,472219838000000.0,437988747000000.0,34231091000000.0,4211365000000.0,23593122000000.0
2024,4Q,027410,BGF,434085472661.0,55229112297.0,70656336980.0,94776625368.0,2300978258450.0,319875641992.0,1981102616458.0,95716791000.0,904131961886.0
2024,4Q,079160,CJ CGV,1957884214182.0,75933768898.0,-163633902253.0,-175469437302.0,3997014314732.0,3420269607130.0,576744707602.0,82790076500.0,-1418393095032.0
2024,4Q,095570,AJ네트웍스,1014156314426.0,72790207643.0,27869842632.0,21600800986.0,1717770434389.0,1274047255964.0,443723178425.0,46822295000.0,254974475763.0
2024,4Q,097950,CJ제일제당,29359081823000.0,1553017638000.0,610527403000.0,361835555000.0,30149997467000.0,17907211781000.0,12242785686000.0,81908095000.0,5747132929000.0
2024,4Q,138930,BNK금융지주,,875919821432.0,991785712705.0,749976302023.0,152470490926534.0,141322916379933.0,11147574546601.0,1629676230000.0,7604753054577.0
2024,4Q,267260,HD현대일렉트릭,3322349007529.0,668970713547.0,650071931824.0,498409535389.0,3795545096460.0,2288027971862.0,1507517124598.0,180235675000.0,815876343990.0
2024,4Q,282330,BGF리테일,8698757469111.0,251641247239.0,245348753090.0,195217876198.0,3402590175982.0,2218457219442.0,1184132956540.0,17283906000.0,830954981044.0
2025,1Q,000120,CJ대한통운,2992585545195.0,85366748157.0,52780966618.0,40977283248.0,9917468022880.0,5655838404778.0,4261629618102.0,114061720000.0,1341324827316.0
2025,1Q,000480,시알홀딩스,203229950000.0,6704051000.0,-1792429000.0,-2767032000.0,1630008108000.0,794623023000.0,835385085000.0,23445245000.0,608001508000.0
2025,1Q,000590,CS홀딩스,32837107732.0,5253926828.0,8445567414.0,6922117521.0,418653809280.0,35514278353.0,383139530927.0,5772410000.0,267964041716.0
2025,1Q,001040,CJ,10600439111000.0,534964591000.0,269473132000.0,136435994000.0,47510288584000.0,29788181556000.0,17722107028000.0,179047370000.0,4005766040000.0
2025,1Q,001460,BYC,35340964470.0,4202198337.0,4121586088.0,3201194704.0,713964910888.0,164721826630.0,549243084258.0,4200000000.0,538659670524.0
2025,1Q,011150,CJ씨푸드,52528283248.0,-1000475233.0,176488181.0,230991938.0,176878437980.0,92891876246.0,83986561734.0,18065386500.0,65257351058.0
2025,1Q,027410,BGF,105946989429.0,5151855801.0,4148127490.0,4504671087.0,2297336644743.0,324916419599.0,1972420225144.0,95716791000.0,896583796859.0
2025,1Q,079160,CJ CGV,533590697727.0,3200890054.0,-33471296176.0,-38091392748.0,3927187629707.0,3383477417968.0,543710211739.0,82790134500.0,-1459716179898.0
2025,1Q,095570,AJ네트웍스,261122037529.0,15948417838.0,3161267880.0,5183305353.0,1758818519349.0,1322536792752.0,436281726597.0,46822295000.0,248491783735.0
2025,1Q,097950,CJ제일제당,7208471055000.0,333167940000.0,182030071000.0,57388640000.0,30256591579000.0,18012573550000.0,12244018029000.0,81908095000.0,5715249218000.0
2025,1Q,138930,BNK금융지주,,205841068949.0,227678068639.0,171831732721.0,153914769364963.0,142956574749037.0,10958194615926.0,1629676230000.0,7598066760191.0
2025,1Q,267260,HD현대일렉트릭,1014667829225.0,218178415835.0,207600562538.0,153416990510.0,4237266337753.0,2728064346860.0,1509201990893.0,180235675000.0,816979597810.0
2025,1Q,282330,BGF리테일,2016470142403.0,22625658073.0,17258137167.0,13360723881.0,3346641830138.0,2219280946912.0,1127360883226.0,17283906000.0,773283739054.0
